﻿﻿RENCANA ANGGARAN BIAYA
﻿Proyek;Project  test 4
﻿;ket project satu 8
﻿;ket project dua 8
﻿Pemilik Project;Client 8 (instansi client 8)
﻿Tahun;-
﻿Sumber Dana;Pemilik 8
﻿Lokasi;-
﻿Project Anggaran;Rp 1.000.000.008,00
﻿
﻿Uraian Pekerjaan;Kode AHSP;Satuan;Volume;Harga Satuan (Rp);Jumlah Harga (Rp)
﻿K1;;;;;7.604.862.663
﻿  K1.1;;;;;7.565.019.277
﻿    Pemasangan 1 m2 Dinding Bata Merah Tebal 1 Batu dengan Mortar Tipe M,fc’ 17, 2 MPa (Setara Campuran 1SP : 2PP);3.6.1.1;;100,000;301.304;30.130.438
﻿    1 m3  beton mutu sedang f'c 20 MPa, Slump (100 ±  25) mm, agregat maks 19 mm secara manual;2.2.1.4.5;;3.000,000;2.298.299;6.894.896.910
﻿    1 kg Penulangan kolom, balok, ring balk, dan sloof untuk BjTS diameter < 12 mm, cara Manual (untuk bangunan gedung);2.2.1.1.3;;9.000,000;69.138;622.238.760
﻿    Pemasangan 1 m2 bekisting untuk balok (3 kali pakai);2.2.1.3.5;;60,000;259.663;15.579.778
﻿    Pengeboran 1 m' Lubang Bored Pile φ 50 cm pada tanah Sedang (Manual);2.2.2.3.14;;10,000;217.339;2.173.391
﻿  K1.2;;;;;39.843.386
﻿    Pemasangan dan Pembongkaran Bekisting  Pemasangan 1 m2  bekisting untuk fondasi telapak (3 kali pakai);2.2.1.3.1;;10,000;255.404;2.554.035
﻿    Mengangkut 1 m3  tanah lepas, jarak angkut > 600 m untuk setiap penambahan   jarak   angkut   100   m   (Lihat   Peraturan   Menteri Pekerjaan  Umum  dan  Perumahan  Rakyat  Nomor  8  Tahun  2023 Lampiran B U.3.6.a.12 (a));1.4.1.12;;20,000;34.249;684.981
﻿    Pemasangan 1 Unit Lampu Sorot RGB 30 Watt untuk Outdoor;5.3.1.10;;30,000;186.065;5.581.950
﻿    Pemasangan 1 Unit AC Wall Mounted Kap :  5 BTUH;5.5.1.1;;40,000;323.213;12.928.520
﻿    Pemasangan 1 Unit PRV SET dia. 50 mm;5.6.1.1;;50,000;361.878;18.093.900
﻿Klasifikasi 2;;;;;330.373.845
﻿  Sub-Klasifikasi 2.1;;;;;18.898.248
﻿    Pemasangan 1 m2  Lantai Teraso Cor di Tempat, Tebal 3cm;3.9.3.3;;60,000;73.568;4.414.080
﻿    Pemasangan 1 m2  Atap Genteng Kodok Glazuur;3.1.1.2;;70,000;92.166;6.451.638
﻿    Pelapisan 1 m2 Waterproofing Acrylic Base;3.4.4;;80,000;30.055;2.404.380
﻿    Pemasangan 1 Unit MDF 2 x 8 Pair;5.4.4.1;;90,000;62.535;5.628.150
﻿  Sub-Klasifikasi 2.2;;;;;311.475.598
﻿    Mengangkut/menaikkan 1 kg tulangan setiap kenaikan vertikal 4 m atau tambahan jarak horizontal 25 m ke tapak pemasangan secara mekanis (untuk Bangunan Gedung);2.2.1.1.9;;100,000;1.420;142.010
﻿    Pembuatan 1 buah Cetakan Panel P1 RISHA (Asumsi 400 kali pakai);10.1.1;;110,000;1.995.408;219.494.908
﻿    Pemasangan 1 m2  Lembaran Insulasi Atap;3.2.1;;120,000;19.046;2.285.514
﻿    Pemasangan 1 m2  Kaca Cermin Tebal 5 mm;3.12.7;;22,000;24.915;548.130
﻿    1  buah   papan  nama   pekerjaan   ukuran   0,8x1,2  menggunakan multiflex  18  mm,  frame  besi  siku  dan  tiang  kayu  8/12  (Lihat Peraturan Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 8 Tahun 2023 Lampiran B U.1.3.f.1 (a));1.1.2.1;;11,000;1.180.300;12.983.300
﻿    Pembuatan s.d. Pengecoran Campuran Beton Secara Manual  1 m3  beton mutu rendah f'c 7,5 MPa, Slump (100 ±  25) mm, agregat maks 19 mm secara manual;2.2.1.4.1;;33,000;2.303.689;76.021.736
﻿K3;;;;;77.503.473
﻿  K3.1;;;;;77.503.473
﻿    Bongkar  1  m2  rangka  atap/  reng/  kaso  struktur  kayu  dan ditempatkan   di   penyimpanan   sementara   (bongkaran   tidak dipakai kembali);1.6.9;;44,000;13.365;588.060
﻿    Gali dan cabut 1 tunggul pohon tanaman keras ∅  > 15 cm  s.d. 30 cm  (termasuk  pembuangan  sisa  tunggul  tanpa  menutup  kembali bekas  lubang)  (Lihat  Peraturan  Menteri  Pekerjaan  Umum  dan Perumahan Rakyat Nomor 8 Tahun 2023 Lampiran B U.3.2.b (a));1.1.3.9;;55,000;22.395;1.231.750
﻿    Pemasangan 1 Titik Kabel Power AC NYM 3 x 2,5 mm2;5.5.1.8;;66,000;8.894;586.971
﻿    1 m3  Urukan tanah biasa atau tanah liat berpasir tanpa pemadatan secara  manual  (Lihat  Peraturan  Menteri  Pekerjaan  Umum  dan Perumahan Rakyat Nomor 8 Tahun 2023 Lampiran B U.3.5.1.d (a));1.3.1.4;;77,000;13.365;1.029.105
﻿    Penggalian  1  m3   tanah  biasa  sedalam  >  2  m  s.d.  3  m  untuk volume   >   200   m3 cara   manual   (Lihat   Peraturan   Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 8 Tahun 2023 Lampiran B U.3.4.1.a.7 (a));1.2.1.1.7;;56,000;101.574;5.688.144
﻿    Menggenangi 1 m² permukaan beton dengan air selama 4 hari (untuk Bangunan Gedung);2.2.1.9.1;;65,000;1.783;115.902
﻿    Pemasangan 1 m2 Teralis Besi Strip;3.11.4.12;;67,000;72.242;4.840.248
﻿"    Pemasangan 1 buah butterfly valve, Dia. 10"" (250 mm)";6.5.8.8;;76,000;586.426;44.568.414
﻿    Pemasangan 1 Unit Safety Valve dia. 100 mm;5.6.1.17;;80,000;235.686;18.854.880
﻿
﻿TOTAL BIAYA LANGSUNG;8.012.739.981
﻿PPN 10.00%;801.273.998
﻿GRAND TOTAL;8.814.013.979
﻿PEMBULATAN;8.814.010.000
﻿
﻿REKAPITULASI RENCANA ANGGARAN BIAYA
﻿Proyek;Project  test 4
﻿;ket project satu 8
﻿;ket project dua 8
﻿Pemilik Project;Client 8 (instansi client 8)
﻿Tahun;-
﻿Sumber Dana;Pemilik 8
﻿Lokasi;-
﻿Project Anggaran;Rp 1.000.000.008,00
﻿
﻿No;Uraian Klasifikasi;Jumlah Harga (Rp)
﻿    1;K1;7.604.862.663
﻿    2;Klasifikasi 2;330.373.845
﻿    3;K3;77.503.473
﻿
﻿TOTAL BIAYA LANGSUNG;8.012.739.981
﻿PPN 10.00%;801.273.998
﻿GRAND TOTAL;8.814.013.979
﻿PEMBULATAN;8.814.010.000
